	DTHY	h
contraseña	BKsm	2
contrastar	BKtc	s
contrastar	BKuI	r
contraste	BKuz	w
contrata	BKzB	BO
contratación	BKvj	Bw
contratación	BKxT	9
contratado	BKyQ	x
contratar	BK02	Bh
contratar	BK0P	n
contratiempo	BK2X	BA
contratista	BK3X	5
contrato	BK66	BJ
contrato de compraventa	BK4Q	BX
contrato de seguro	BK5n	BT
contribución	BK89	5
contribución	BK8D	6
contribuir	BK92	t
contributivo	BK+j	x
contribuyente	BK/U	BB
control	BLFZ	7
control	BLGU	t
control remoto	BLHB	BE
controlable	BLAV	1
controlador	BLDi	3
controlador aéreo	BLBK	BJ
controlador de vuelo	BLCT	BP
controlar	BLEZ	BA
controversia	BLIF	9
contráctil	BKQ/	y
contundencia	BLJC	BS
contundencia	BLKU	8
contundente	BEwX	Bc
contundente	BLLQ	y
contundente	BLMC	BL
convalecencia	BLNN	BC
convaleciente	BLOP	8
convaleciente	BLPL	9
convalidar	BLQI	p
convección	BLQx	3
convencer	BLSh	o
convencer de	BLRo	5
convencimiento	BLTJ	Bn
convencional	BLUw	0
convencional	BLVk	1
convención	BLWZ	3
convención	BLXQ	5
convenida	BLYJ	BH
convenido	BLYJ	BH
conveniencia	BLZQ	BB
conveniente	BLaR	/
convenio	BLbQ	y
convenio	BLcC	x
convenir	BLcz	l
convenir	BLdY	q
convento	BLeC	t
convergencia	BLev	8
convergente	BLfr	x
converger	BLgc	p
conversable	BLhF	z
conversación	BLh4	+
conversador	BLi2	z
conversar	BLjp	q
conversar	BLkT	t
conversión	BLlA	3
conversor	BLl3	0
convertibilidad	BLmr	BJ
convertible	BLn0	BT
convertidor	BLpH	3
convertir	BLp+	p
convertir	BLr0	n
convertir	BLrO	m
convertirse	BLqn	n
convexidad	BLsb	4
convexo	BLtT	t
convicción	BLTJ	Bn
convicción	BLuA	5
convicto	BLu5	v
convicto	BLvo	x
convidar	BLw7	j
convidar	BLwZ	i
convidar	BLxe	v
convincente	BLyN	t
convivencia	BLy6	9
convivir	BLz3	s
convocar	BL0j	i
convocar	BL1F	k
convocar	BL1p	v
convocar elecciones	BL2Y	Bv
convocatoria	BL4H	9
convocatoria	BL5E	7
convoy	BL5/	o
convulsivo	BL7Z	v
convulsión	BL6n	y
cooperación	BL9Q	BZ
cooperar	BL+p	r
cooperativa	BL/U	BY
cooperativismo	BMAs	BL
cooperativista	BMB3	BO
cooperativo	BMDF	z
coordenada	BMD4	4
coordinador	BMEw	+
coordinar	BMFu	q
copa	BMIn	s
copa	BMJT	4
copa	BMKL	5
copa de avena	BMGY	BH
copa de nieve	BMHf	BI
copenhague	BMLE	m
copete	BMLq	BO
copia	BMM4	k
copiar	BMN7	c
copiar	BMNc	f
copiloto	BMOX	u
copita	BMPF	q
copo	BMRs	j
copo de avena	BMPv	+
copo de nieve	BMQt	/
copos de avena	BMS9	BJ
coproducción	BMUG	/
coproductor	BMVF	7
copucha	BMWA	CG
copuchar	BMYG	BU
copuche	BMWA	CG
copuchear	BMYG	BU
copular	BMZa	i
copón	BMSP	u
coqueta	BMcI	0
coquetear	BMZ8	m
coqueteo	BMai	w
coquetería	BMbS	2
coqueto	BMcI	0
coraje	BMc8	l
corajuda	BMdh	BB
corajudo	BMdh	BB
coral	BMei	n
corazón	BMf1	3
corazón	BMfJ	s
corbata	BMgs	t
corchete	BMj6	s
corchete	BMjF	1
corchete angular	BMh5	BM
corcho	BMkm	7
cordel	BMlh	/
cordero	BMng	q
cordero lechal	BMmg	BA
cordial	BMoK	2
cordialidad	BMpA	8
cordialmente	BMp8	8
cordillera	BMq4	BP
cordobés	BMsH	p
cordura	BMvm	u
cordón	BMsw	+
cordón	BMtu	x
cordón umbilical	BMuf	BH
corea	BMx2	X
corea del norte	BMwU	z
corea del sur	BMxH	v
coreana	BMy9	BQ
coreana	BMyN	w
coreano	BM0N	u
coreano	BMy9	BQ
coreógrafo	BM07	6
corinto	BM11	d
cormorán	BM2S	y
cornada	BM3E	8
cornear	BM4r	BC
corneja	BM5t	q
corneta	BM82	o
cornuda	BM9e	BL
cornudo	BM9e	BL
coro	BM+p	i
coro	BM/L	l
corona	BM/w	n
coronar	BNBQ	g
coronaria	BNAX	5
coronel	BNBw	s
corporación	BNCc	+
corporación	BNDa	8
corporal	BNEW	s
corpulencia	BNFC	5
corpulento	BNF7	u
corpus	BNIK	g
corpus	BNIq	o
corpus christi	BNGp	Bh
corral	BNJ7	o
corral	BNJS	p
correa	BNKj	t
correa	BNL4	p
correa	BNLQ	o
correccional	BNMh	BD
corrección	BNNk	4
correcta	BNOc	BN
correcto	BNOc	BN
corrector de acidez	BNPp	BX
corrector ortográfico	BNRA	Bg
corredor	BNYu	z
corredor de apuestas	BNUb	BQ
corredor de bolsa	BNVr	BO
corredor de propiedades	BNW5	B1
corredora de propiedades	BNSg	B7
corregible	BNZh	5
corregir	BNaa	n
correlación	BNbB	8
correlativo	BNb9	y
correligionaria	BNcv	Bq
correligionario	BNeZ	Bo
correo	BNiD	n
correo aéreo	BNgB	7
correo electrónico	BNg8	BH
correos	BNiq	BF
correoso	BNjv	r
correr	BNka	9
correr	BNl1	b
correr	BNlX	e
correr	BNmQ	c
correr	BNn2	x
correr	BNon	y
correr	BNpZ	1
correrse la paja	BNms	BK
correspondencia	BNqO	BG
corresponder	BNrU	v
corresponder	BNsD	w
corresponder	BNsz	s
correspondiente	BNtf	8
corresponsal	BNub	Bb
corriente	BNy9	1
corriente	BNyM	x
corriente alterna	BNv2	BL
corriente continua	BNxB	BL
corroer	BNzy	l
corromper	BN0X	q
corrosivo	BN2I	s
corrosión	BN1B	BH
corrupción	BN20	5
corrupta	BN3t	BD
corrupto	BN3t	BD
corsa	BN6d	BE
corsario	BN4w	BF
corso	BN6d	BE
corsé	BN51	o
corta	BOJq	u
cortada	BN7h	5
cortado	BN7h	5
cortafuegos	BN8a	3
cortar	BN9R	h
cortar	BN9y	e
cortarse	BN+Q	n
corte	BOB2	BR
corte	BODH	n
corte	BODu	s
corte de pelo	BN+3	+
cortejar	BN/1	p
cortejo	BOAe	r
cortejo	BOBJ	t
cortesía	BOE9	1
corteza	BOFy	x
cortina	BOGj	r
cortina	BOHO	r
cortisona	BOH5	y
corto	BOJq	u
cortocircuito	BOIr	/
cortometraje	BOKY	5
cortés	BOEa	j
corvina	BOLR	v
corzo	BOMA	k
cosa	BONK	BM
cosaco	BOMk	m
cosecha	BOPS	p
cosechadora	BOOW	8
cosechar	BOP7	h
coseno	BOQc	o
coser	BOR5	n
coser a mano	BORE	1
cosmográfico	BOUe	4
cosmología	BOVW	2
cosmológico	BOWM	y
cosmonauta	BOXw	BO
cosmonauta	BOY+	2
cosmopolita	BOZ0	3
cosmopolita	BOar	4
cosmopolitismo	BObj	BC
cosmos	BOcl	8
cosmética	BOSg	w
cosmético	BOTQ	q
cosmólogo	BOW+	y
cosquillar	BOdh	k
cosquilloso	BOeF	s
costa	BOex	p
costa	BOfa	l
costa rica	BOf/	q
costar	BOgp	e
coste	BOhn	p
coste	BOiQ	k
costear	BOhH	g
costilla	BOi0	q
costillar	BOje	2
costo	BOlo	k
costo del la vida	BOkU	BU
costosa	BOmM	6
costosa	BOnG	7
costosa	BOoB	1
costoso	BOmM	6
costoso	BOnG	7
costoso	BOoB	1
costra	BOo2	o
costumbre	BOpe	BW
costura	BOq0	o
costurera	BOrc	z
costurero	BOsP	x
costurero	BOtA	4
cota de nieve	BOt4	BD
cotangente	BOu7	2
cotidiana	BOwz	BJ
cotidiana	BOx8	BA
cotidianidad	BOvx	BC
cotidiano	BOwz	BJ
cotidiano	BOx8	BA
cotiledón	BOy8	0
cotilla	BOzw	u
cotillear	BO0e	l
cotilleo	BO1D	u
cotizar	BO1x	i
coto	BO2T	j
cotón	BO22	p
coulomb	BO3f	q
coyote	BO4J	BB
coyuntura	BO57	1
coyuntura	BO5K	x
coz	BO6w	l
coágulo	8fv	u
coña	BD5h	BD
coñac	BD43	q
coñac	BD4Q	n
coño	BHnZ	6
coño	BHtu	l
coño	BHuT	BB
coño	BHwY	+
cracovia	BO7V	f
craneal	BO70	n
craquear	BO9G	h
creacionismo	BO+R	+
creacionista	BO/P	+
creacionista	BPAN	8
creación	BPBJ	0
creador	BPB9	x
crear	BPCu	d
crear	BPDL	b
crear	BPDm	w
creatina	BPEW	v
creatividad	BPFF	+
creativo	BPGD	8
crecer	BPG/	g
crecer	BPHf	d
crecido	BPH8	q
creciente	BPIm	6
crecimiento	BPJg	BN
credencial	BPKt	B6
credibilidad	BPMn	BF
credo	BPPN	z
credulidad	BPQA	BA
creencia	BPRs	u
creencia	BPSa	v
creer	BPT0	a
creer adj	BPTJ	r
creerse	BPUO	n
crema	BPZK	l
crema	BPZv	l
crema	BPaU	l
crema chantilli	BPWM	BJ
crema dental	BPYQ	6
crema montada	BPa5	BG
cremación	BPXV	7
crematorio	BPb/	x
crematorio	BPcw	4
cremoso	BPdo	i
crep	BPeK	BX
cresa	BPfh	k
crespo	BPgF	f
cresta	BPgk	x
cresta	BPhV	3
creta	BPiM	X
creyente	BPij	o
creyente	BPj8	y
creyente	BPjL	x
creíble	BPU1	n
creído	BPVc	w
criada	BPku	x
criada	BPlf	BK
criadero	BPmp	t
criadilla	BPnW	u
criado	BPoE	u
criado	BPoy	p
criador	BPpb	u
crianza	BPq2	t
criar	BPr/	b
criar	BPrj	c
criatura	BPsa	u
crimea	BPtI	m
crimen	BPu4	s
crimen de guerra	BPtu	BK
criminal	BP0m	BM
criminal	BP1y	y
criminal	BPvk	p
criminal de guerra	BPwN	BT
criminal de guerra	BPxg	BR
criminalidad	BPyx	BA
criminalizar	BPzx	1
criogénico	BP2k	q
cripta	BP34	9
cripta	BP3O	q
criptografía	BP5f	BC
crisantemo	BP6h	4
crisis	BP7Z	n
crisma	BP8A	p
cristal	BQB+	BE
cristal	BQBW	o
cristal	BQDC	s
cristalería	BP8p	4
cristalina	BP+P	BO
cristalino	BP+P	BO
cristalino	BP9h	u
cristalización	BP/d	BI
cristalizar	BQAl	x
cristalografía	BQDu	BJ
cristiana	BQE3	w
cristiana	BQII	BE
cristiana	BQJ6	Bl
cristiandad	BQFn	8
cristianismo	BQGj	7
cristiano	BQHe	q
cristiano	BQII	BE
cristiano	BQJ6	Bl
cristiano	BQJM	u
cristo	BQL7	q
cristo	BQLf	c
cristo	BQMl	q
criterio	BQNP	w
criticar	BQN/	m
criticismo	BQOl	4
criticón	BQRl	x
croacia	BQSW	f
crochet	BQS1	BK
croché	BQS1	BK
crol	BQT/	x
cromado	BQUw	m
cromatografía	BQVW	BG
cromo	BQWc	l
cromosoma	BQXB	z
cronista	BQZG	BG
cronológico	BQaM	0
croqueta	BQbA	t
cruce	BQbt	p
crucero	BQcW	w
crucero	BQdG	2
crucial	BQd8	p
crucificar	BQel	p
crucifijo	BQfO	z
crucifixión	BQgB	7
crucigrama	BQg8	/
cruda	BQiX	r
crudo	BQh7	c
crudo	BQiX	r
cruel	BQjC	f
crueldad	BQjh	y
crujiente	BQkT	p
crujir	BQk8	c
crujir	BQl1	c
crujir	BQlY	d
crustáceo	BQmR	1
cruz	BQrf	k
cruz roja	BQsD	5
cruzada	BQn0	u
cruzada	BQnG	u
cruzado	BQoi	m
cruzado	BQpI	4
cruzar	BQq+	h
cruzar	BQqA	h
cruzar	BQqh	d
cráneo	BO8b	r
cráter	BO9n	q
crédito	BPNs	1
crédito	BPOh	s
crédulo	BPRA	s
cría	BPqJ	t
críptico	BP41	q
crítica	BQQC	Bj
crítico	BQPd	l
crítico	BQQC	Bj
crónica	BQX0	s
crónico	BQYg	m
cuadernillo	BQs8	3
cuaderno	BQtz	r
cuadra	BQv4	BL
cuadrado	BQue	r
cuadrado	BQvJ	v
cuadrilla	BQ0U	v
cuadrilátero	BQza	6
cuadro	BQ1D	9
cuadrángulo	BQx0	3
cuadrángulo	BQxD	x
cuadrático	BQyr	v
cuadrúpedo	BQ2A	v
cuadrúpedo	BQ2v	3
cuajada	BQ45	t
cuajada	BQ4Q	p
cuajada	BQ5m	v
cuajada	BQ6V	p
cuajar	BQ6+	c
cuajo	BQ7a	i
cual	BQ9F	0
cualidad	BQ/4	x
cualidad	BQ/F	z
cualidades	BQ95	BM
cualificado	BRAp	y
cualificar	BRBb	r
cualitativo	BRCG	w
cualquier	BRC2	BO
cualquiera	BRC2	BO
cuando	BRFw	0
cuantificación	BRIP	BE
cuantificar	BRJT	u
cuantificar	BRKB	s
cuantitativo	BRKt	z
cuanto	BROA	7
cuanto antes	BRLg	w
cuantía	BRGk	BF
cuarenta	BRP1	g
cuarentena	BRQV	3
cuarentón	BRRM	6
cuarta	BRUN	BH
cuartel	BRTM	BB
cuartel general	BRSG	BG
cuarto	BRUN	BH
cuarto	BRXY	p
cuarto	BRYB	o
cuarto de baño	BRVU	BC
cuarto de estar	BRWW	BC
cuarto trastero	EUm8	CV
cuarzo	BRYp	o
cuatrero	BRZR	4
cuatro	BRaJ	Y
cuba	BRah	U
cubana	BRbY	Bb
cubano	BRa1	j
cubano	BRbY	Bb
cubierta	BRdU	BL
cubierto	BRdU	BL
cubierto	BRef	BG
cubismo	BRfl	s
cubo	BRhN	l
cubo de hielo	BRgR	8
cubrecama	BRhy	4
cubrir	BRiq	e
cubrir	BRjI	e
cubrir	BRjm	e
cucaracha	BRkE	z
cuchara	BRmx	s
cucharada	BRk3	3
cucharadita	BRlu	BD
cucharilla	BRnd	3
cucharita	BRoU	6
cucharón	BRpO	v
cuchilla	BRp9	s
cuchillo	BRqp	s
cuclillo	BRrV	s
cuco	BRs3	k
cuco	BRsB	2
cucurucho	BRtb	0
cucurucho	BRuP	2
cuellicorto	BRvF	x
cuello	BRv2	l
cuello	BRwb	n
cuenca	BRxC	o
cuenco	BRxq	r
cuenta	BRzW	q
cuenta bancaria	BRyV	BB
cuento	BR0A	BE
cuento	BR1E	q
cuera	BR1u	4
cuerda	BR2m	o
cuerda	BR3O	o
cuerdo	BR32	j
cuerno	BR4Z	m
cuero	BR4/	l
cuerpo	BR5k	p
cuerpo	BR6N	n
cuervo	BR60	p
cuesta	BR8+	n
cuesta abajo	BR7d	u
cuesta arriba	BR8L	z
cuestionable	BR9l	z
cuestionar	BR+Y	u
cuestionario	BR/G	6
cuestión	BSAA	BG
cuestión	BSBG	BW
cuetear	BSCc	6
cueva	BSDW	m
cuidado	BSD8	BR
cuidador	BSFN	BF
cuidador	BSGS	1
cuidadosa	BSIA	Bc
cuidadosamente	BSHH	5
cuidadoso	BSIA	Bc
cuidar	BSJ7	e
cuidar	BSJc	f
cuidar	BSKZ	c
cuidarse	BSK1	r
cuidarse de	BSLg	x
cuido	BSM6	m
cuido	BSMR	p
culantro	BSNg	v
culata	BSOP	t
culeada	BSO8	Bo
culeado	BSO8	Bo
culear	BSQk	2
culebra	BSRa	t
culebrear	BSSH	y
culebrón	BSS5	0
culinaria	BSTt	BO
culinaria	BSU7	Bb
culinario	BSTt	BO
culinario	BSU7	Bb
culminación	BSWW	5
culminar	BSXP	BG
culo	BSZB	BJ
culombio	BSYV	s
culpa	BSdM	l
culpabilidad	BSa1	/
culpabilizar	BSb0	y
culpable	BScm	m
culpar	BSdx	g
culta	BSii	BN
cultivador	BSeR	2
cultivador	BSfH	2
cultivar	BSf9	i
cultivar	BSgf	m
cultivar	BShF	u
cultivo	BShz	v
culto	BSii	BN
culto	BSjv	BR
cultura	BSlA	p
cultura	BSlp	/
cultural	BSmo	3
culturismo	BSnf	4
culturista	BSoX	5
culturista	BSpQ	3
culturizarse	BSqH	v
culón	BSaK	r
cumbre	BSq2	BD
cumple	BSsw	1
cumpleaños	BSr5	3
cumplido	BStl	BY
cumplidor	BSu9	Bz
cumplidora	BSu9	Bz
cumplimentar	BSww	Bq
cumplimentera	BSya	Bj
cumplimentero	BSya	Bj
cumplimiento	BSz9	Bs
cumplir	BS2v	Bc
cumplir	BS6f	4
cumplir	BS7X	B2
cumplir con su deber	BS1p	BG
cumplir el servicio	BS4L	Bj
cumplir x años	BS9N	BA
cumplirse	BS5u	x
cumulativo	BS+N	t
cuna	BTDF	r
cuna	BTET	i
cundir	BTE1	9
cuota	BTFy	k
cuota	BTGW	j
cupido	BTHd	o
cupo	BTIF	n
cupo	BTIs	i
cupé	BTG5	k
cupón	BTJO	l
cura	BTNv	8
cura	BTOr	BA
cura	BTPr	m
cura	BTQ2	h
cura	BTQR	l
cura	BTRX	l
curable	BTKb	k
curación	BTK/	x
curado	BTLw	7
curado	BTMr	BE
curandero	BTR8	x
curar	BTSt	Z
curar	BTTG	b
curar	BTTh	Z
curarse	BTT6	8
curativa	BTU2	0
curativa	BTVq	BD
curativo	BTVq	BD
curda	BTWt	n
curda	BTXU	0
curda	BTYI	BU
curdo	BTXU	0
curdo	BTYI	BU
curia	BTZc	l
curiosa	BTcm	7
curiosa	BTdh	BO
curiosa	BTev	BX
curiosa	BTgG	Bm
curiosa	BThs	Bd
curiosamente	BTa2	6
curiosamente	BTaB	1
curiosidad	BTbw	2
curioso	BTcm	7
curioso	BTdh	BO
curioso	BTev	BX
curioso	BTgG	Bm
curioso	BThs	Bd
currar	BTjJ	BC
curro	BTkL	x
curry	BTk8	m
cursar	BTli	n
cursi	BTmJ	g
cursillo	BTmp	BT
cursivo	BTn8	j
curso	BTpq	k
curso	BTqO	4
curso	BTr/	BI
curso	BTrG	5
curso académico	BTof	BL
cursor	BTtH	p
curtidor	BTtw	w
curtiduría	BTug	3
curtir	BTvX	b
curva	BTwZ	m
curva	BTx0	BC
curvado	BTvy	n
curvatura	BTw/	1
curvo	BTx0	BC
cusco	BTy2	BE
cusqueña	BT0l	5
cusqueño	BT0l	5
custodia	BT1e	v
custodia	BT2N	z
custodiar	BT3A	m
cutis	BT4H	9
cutáneo	BT3m	h
cuya	BT5E	y
cuyo	BT5E	y
cuzco	BTy2	BE
cuádruple	BQ3m	q
cuál	BQ78	BJ
cuál	BQ9F	0
cuáles	BQ78	BJ
cuándo	BRFU	c
cuándo empezaste	BREE	BQ
cuánta	BRMQ	2
cuántas	BRO7	6
cuántico	BRHp	m
cuánto	BRMQ	2
cuánto desea	BRNG	6
cuántos	BRO7	6
cuña	BTBC	BB
cuña	BTCD	BC
cuña	BTDw	j
cuñada	BS/n	v
cuñado	BTAW	s
cábala	mbU	BF
cálcico	oxX	l
cálculo	o7v	s
cálculo infinitesimal	o6U	Bb
cálculo porcentual	o8b	BP
cálida	pWq	BC
cálido	pWL	f
cálido	pWq	BC
cámara	qR7	p
cámara	qRO	t
cáncer	r47	2
cáncer	r4S	p
cáncer	r5x	2
cáncer	r6n	z
cáncer de mama	r2c	BB
cándido	sNh	9
cántaro	sx6	BB
cánula	s6L	p
cápsula	tab	+
cárcel	uCR	u
cáscara	v2J	r
cátedra	w0X	Bd
cátedra	wxC	v
cátedra	wxx	v
cátodo	w/u	q
cáustica	xKZ	v
cáustico	xLI	n
cédula	x2b	6
cédula	x3V	r
cédula de identidad	x1A	Bb
célebre	yEf	2
céltico	yOl	3
célula	yQ9	+
célula solar	ySu	8
célula terrorista	yTq	Be
céntimo	y+K	CM
céntimo	y7X	BP
céntimo	y8m	w
céntimo del euro	y+K	CM
céntrico	zIw	3
céntuplo	zY9	k
céntuplo	zZh	0
césped	0gY	o
cíclica	4JE	8
cíclico	4JE	8
cíclope	4Tf	r
címbalo	46N	r
cínico	5Lu	i
círculo	5nF	r
círculo vicioso	5nw	BG
cítrica	6Og	BN
cítrico	6Og	BN
cívica	6a4	6
cívico	6a4	6
cóctel	9cj	By
cóctel	9eV	CM
código	9ui	o
código	9v4	p
código	9vK	u
código abierto	9sb	8
código fuente	9tX	BL
código postal	9wh	BA
cólera	/Kq	q
cólico	/Uw	n
cólones	/00	j
cólquico	BAJ8	z
cómic	BA/J	l
cómico	BA/u	u
cómico	BBAc	p
cómo	BBil	X
cómo dice	BBYV	r
cómo estás	BBbr	y
cómo estás	BBcd	t
cómo le queda	BBdK	BV
cómo no	BBef	7
cómo se llama usted	BBgL	BF
cómo te va	BBhz	y
cómoda	BBal	BG
cómodo	BBal	BG
cómplice	BCpw	BG
cóncavo	BD92	u
cónclave	BEqL	v
cóndor	BFYT	p
cónico	BG/D	m
cónico	BG/p	h
cónsul	BJGF	o
cónyuge	BIks	B3
cónyuge	BImj	Bz
cónyuge	BL8I	BI
córcega	BMhZ	g
córnea	BM4A	r
córner	BM6X	BE
córner	BM7b	Bb
cósmico	BOT6	k
cúbico	BRcz	h
cúmulo	BS+6	t
cúpula	BTJz	o
cúspide	BTz6	r
dado	BT52	u
dalia	BT6k	l
dallar	BT7J	h
dama	BT7q	h
damasco	BT8L	BC
damasco	BT9N	BH
danubio	BUBQ	p
danza	BUB5	k
danzar	BUCd	b
danés	BT/r	a
dar	BUPG	X
dar cosas	BUC4	5
dar cuerda	BUDx	/
dar la vuelta	BUFd	+
dar la vuelta	BUGb	r
dar los gracias	BUHG	BF
dar lástima	BUEw	t
dar rabia	BUIL	+
dar un paseo	BUOG	BA
dar una cátedra	BULy	BS
dar una cátedra	BUNE	BC
darse cuenta	BUKS	v
darse cuenta de algo	BUJJ	BJ
darse prisa	BULB	x
datar	BUPd	e
datilera	BUP7	Bo
dato	BUSJ	j
dato	BUSs	k
datos	BUTQ	s
dañado	BT+U	n
dañar	BT+7	w
dañino	BUAF	l
daño	BUAq	m
de	CpGs	2
de aburrimiento	BUT8	5
de actualidad	BUU1	r
de acuerdo con	BUVg	BO
de afuera	BUWu	m
de alcohol	EAUF	Bg
de atrás	BUYL	j
de año en año	BUXU	3
de balde	BUaN	g
de bolsillo	BUhS	s
de buen humor	BUh+	BB
de cabecera	BUi/	t
de casualidad	BUpK	t
de cerdo	BUvQ	l
de color	BVE2	p
de color	BVFf	n
de complexión normal	BVGG	BJ
de delante	BVHP	BD
de doble protección	BVOo	BI
de enfrente	BVXj	2
de esta manera	BVYZ	7
de golpe	BV1U	5
de improviso	BV81	BH
de inmediato	BV98	u
de la mano	BWK+	n
de lunares	BWpY	l
de mala gana	BWr3	t
de mala leche	BWsk	Be
de media jornada	BWy5	5
de media jornada	BWzy	0
de moda	BW3p	c
de momento	BW7I	x
de otra manera	BXSu	t
de perogrullo	BXfh	4
de pronto	BX97	k
de quién	BX+f	i
de raza	BX/B	s
de rechupete	BYKl	u
de súbito	BcIK	l
de todas maneras	Bcop	BQ
de todo los modos	Bcp5	BR
de ultramar	BcvC	BA
de x años	Bc8P	s
debajo	BUZk	p
debajo de	BUYu	2
deber	BUbm	o
deber	BUc5	v
deber	BUcO	r
deberes	BUat	5
debido a	BUdo	m
debilidad	BUeu	0
debilitar	BUgV	9
debilitarse	BUfi	z
decaer	BUkY	j
decaimiento	BUnZ	5
decapitar	BUoS	4
decaída	BUk7	u
decaído	BUlp	/
decaído	BUmo	x
decena	BUp3	p
decencia	BUqg	v
decenio	BUrP	t
decente	BUr8	0
decepcionado	BUsw	1
decepcionar	BUtl	y
decepción	BUuX	5
decididamente	BUv1	6
decidido	BUwv	9
decidir	BUye	p
decidir	BUzH	8
decidirse	BUxs	y
decimotercera	BU1M	B9
decimotercero	BU1M	B9
decir	BU3/	Y
decir para sí	BU3J	2
decisivo	BU5M	t
decisión	BU4X	1
declaración	BU55	BT
declaración jurada	BU7M	Bc
declarar	BU/Z	2
declarar	BVAP	7
declarar	BVB7	q
declarar	BVBK	x
declarar la guerra	BU8o	BG
declararse	BU+p	w
declararse	BU9u	7
declinación	BVCl	BH
declinar	BVDs	m
declinar	BVES	k
dedicación	BVIS	BM
dedicación	BVJe	1
dedicación	BVKT	1
dedicar	BVOF	j
dedicar a	BVLI	x
dedicarse	BVNZ	s
dedicarse a	BVL5	Bg
dedo	BVQ2	k
dedo	BVRa	z
dedo del pie	BVPw	BG
deducción	BVSN	1
deducción	BVTC	BT
deducción	BVUV	BM
deducir	BVVh	m
deducir	BVWH	m
deducir	BVWt	2
defecar	BVZU	r
defecto	BVZ/	9
defectuoso	BVa8	5
defender	BVb1	p
defensa	BVce	w
defensivo	BVdO	q
defensor	BVd4	z
deficiencia	BVer	BU
deficiente	BVf/	u
deficiente	BVgt	v
deficiente	BVhc	7
deficiente	BViX	3
deficiente	BVjO	4
deficiente mental	BVkG	BP
deficiente mental	BVlV	BQ
definición	BVml	3
definido	BVnc	4
definir	BVpK	m
definir	BVpw	BD
definir como	BVoU	2
definitivo	BVqz	8
definitivo	BVrv	u
deformación	BVsd	BU
deformar	BVtx	6
deforme	BVur	1
defraudar	BVvg	s
defraudar	BVwM	v
defunción	BVw7	BD
degeneración	BVx+	Br
degenerado	BV0o	s
degenerado	BVzp	/
degradación	BV2N	3
degradación	BV3E	+
degradar	BV4C	o
degradar	BV4q	7
degradar	BV5l	9
degustación	BV6i	BR
degustar	BV7z	BC
dejadez	BV+q	2
dejadez	BV/g	7
dejado	BWAb	l
dejado	BWBA	q
dejar	BWJa	Bk
dejar de	BWDf	r
dejar de fumar	BWBq	B1
dejar en libertad	BWFu	6
dejar en libertad bajo fianza	BWEK	Bk
dejar negro	BWGo	8
dejarse caer	BWHk	5
dejarse llevar	BWId	9
delantal	BWLl	x
delantal	BWMW	v
delante	BWTu	v
delante de	BWNF	u
delante de	BWNz	h
delantera	BWOU	Bq
delantera	BWP+	0
delantero	BWQy	/
delantero	BWS8	y
delantero centro	BWRx	BL
delatar	BWUd	4
delegación	BWVV	x
delegación	BWW+	+
delegación	BWWG	4
delegar	BWX8	1
delegar	BWYx	n
deletrear	BWZY	u
deletrear	BWaG	r
delgada	BWbm	BH
delgadez	BWax	1
delgado	BWbm	BH
delicada	BWdp	Bg
delicada	BWfJ	BQ
delicada	BWgZ	+
delicada	BWhX	BH
delicadeza	BWct	8
delicado	BWdp	Bg
delicado	BWfJ	BQ
delicado	BWgZ	+
delicado	BWhX	BH
delicia	BWie	BF
delicia	BWjj	u
delicioso	BWkR	4
delincuencia	BWlJ	BW
delincuente	BWmf	4
delirio	BWnX	BY
delito	BWov	p
demacrado	BWp9	BA
demacrado	BWq9	6
demanda	BWu3	p
demanda	BWvg	o
demanda	BWwI	s
demandado	BWuC	1
demandar	BWw0	y
demasiada	BWxm	BT
demasiado	BWxm	BT
demencia	BW0m	BZ
democracia	BW1/	3
democrático	BW22	z
demográfica	BW4F	BX
demográfico	BW4F	BX
demoler	BW5c	1
demoler	BW6R	3
demonio	BW75	p
demonio	BW8i	p
demorar	BW//	6
demorar	BW/Z	m
demorar	BXA5	j
demorarse	BW+p	w
demorarse	BW96	v
demorarse	BW9L	v
demoscópica	BXBc	BS
demoscópico	BXBc	BS
demostración	BXCu	4
demostración	BXDm	9
demostrar	BXEj	2
denigrante	BXFZ	BE
denominador	BXGd	/
densidad	BXHc	u
denso	BXIK	d
dentista	BXIn	w
dentista	BXJX	t
dentro	BXKE	o
dentro de	BXMP	g
dentro de dos años	BXKs	Bj
dentro de poco	BXMv	s
dentro de tiempo	BXNb	Bt
denuncia	BXP1	BN
denuncia	BXPI	t
denuncia	BXRC	BH
denunciar	BXSJ	l
departamento	BXVN	3
departamento	BXW+	BY
departamento	BXWE	6
departamento	BXYW	5
departamento de recursos humanos	BXTb	By
depende	BXZP	r
dependencia	BXZ6	8
depender	BXcD	8
depender de	BXa2	BN
dependiente	BXc/	v
dependiente	BXdu	5
dependiente	BXen	6
deplorable	BXgZ	BT
deportar	BXhs	4
deportar	BXik	9
deporte	BXmI	/
deporte blanco	BXjh	BA
deporte de invierno	BXkh	Bn
deporte náutico	BXnH	BE
deportes de invierno	BXoL	Bz
deportista	BXp+	2
deportista	BXq0	0
deportista	BXro	w
deportiva	BXtZ	BD
deportividad	BXsY	BB
deportivo	BXtZ	BD
depositar	BXuc	6
depositar	BXvW	p
depravado	BXy2	9
depresivo	BX4X	u
depresivo	BX5F	8
