Hakusana	Homonymia	Sanaluokka	Taivutustiedot
juoksutus		substantiivi	39
juoksutusmaha		substantiivi	
juoksutyttö		substantiivi	
juoksutyyli		substantiivi	
juoksuvaijeri		substantiivi	
juolahtaa		verbi	53*F
juolavehnä		substantiivi	
juolua		substantiivi	12
juolukka		substantiivi	14*A
juoma		substantiivi	10
juoma-astia		substantiivi	
juoma-automaatti		substantiivi	
juomahimo		substantiivi	
juomajauhe		substantiivi	
juomakausi		substantiivi	
juomakierre		substantiivi	
juomalasi		substantiivi	
juomalaulu		substantiivi	
juomanlaskija		substantiivi	
juomapakkaus		substantiivi	
juomapullo		substantiivi	
juomaraha		substantiivi	
juomari		substantiivi	6
juomaseura		substantiivi	
juomasuihku		substantiivi	
juomasuositus		substantiivi	
juomatapa		substantiivi	
juomatölkki		substantiivi	
juomavesi		substantiivi	
juomavesisäiliö		substantiivi	
juominen		substantiivi	38
juomingit		substantiivi	5*G
juomu		substantiivi	1
juomuinen		adjektiivi	38
juomukondomi		substantiivi	
juonellinen		adjektiivi	38
juonellisesti		adverbi	99
juoni		substantiivi, adjektiivi	26
juonia		verbi	61
juonikas		adjektiivi	41*A
juonikivilaji		substantiivi	
juonikkaasti		adverbi	99
juonikkuus		substantiivi	40
juonimalmi		substantiivi	
juoninäytelmä		substantiivi	
juonipaljastus		substantiivi	
juoniseloste		substantiivi	
juonitella		verbi	67*C
juonittelija		substantiivi	12
juonittelu		substantiivi	2
juonne		substantiivi	48*J
juontaa		verbi	54*J
juontaja		substantiivi	10
juonteikas		adjektiivi	41*A
juonti		substantiivi	5*J
juonto		substantiivi	1*J
juontoreki		substantiivi	
juontosakset		substantiivi	
juontovintturi		substantiivi	
juontua		verbi	52*J
juopa		substantiivi	10*E
juoponnapissa		adverbi	99
juoponnappiin		adverbi	99
juopotella		verbi	67*C
juopottelu		substantiivi	2
juoppo		substantiivi, adjektiivi	1*B
juoppohullu		adjektiivi, substantiivi	
juoppohulluus		substantiivi	
juoppojuna		substantiivi	
juoppolalli		substantiivi	5
juopporatti		substantiivi	5*C
juopporenttu		substantiivi	
juoppous		substantiivi	40
juopua		verbi	52*E
juopumus		substantiivi	39
juopumuspidätys		substantiivi	
juopumussakko		substantiivi	
juopunut		adjektiivi, substantiivi	47
juoru		substantiivi	1
juoruakka		substantiivi	
juoruilla		verbi	67
juoruilu		substantiivi	2
juorukalenteri		substantiivi	
juorukello		substantiivi	
juorukki		substantiivi	5*A
juorupalsta		substantiivi	
juoruta		verbi	74
juorutoimittaja		substantiivi	
juoruämmä		substantiivi	
juosta		verbi	70
juoste		substantiivi	48
juotava		adjektiivi, substantiivi	10
juote		substantiivi	48*C
juotemetalli		substantiivi	
juotikas		substantiivi	41*A
juotin		substantiivi	33*C
juotos		substantiivi	39
juotoskolvi		substantiivi	
juotossauma		substantiivi	
juotostina		substantiivi	
juottaa		verbi	53*C
juottamo		substantiivi	2
juotto		substantiivi	1*C
juottoallas		substantiivi	
juottoautomaatti		substantiivi	
juottola		substantiivi	12
juottorehu		substantiivi	
juottotina		substantiivi	
juottovasikka		substantiivi	
juova		substantiivi	10
juovainen		adjektiivi	38
juovakoodi		substantiivi	
juovaspektri		substantiivi	
juovikas		adjektiivi	41*A
juovittaa		verbi	53*C
juovitus		substantiivi	39
juovukkeeseen		adverbi	99
juovukkeessa		adverbi	99
juovuksiin		adverbi	99
juovuksissa		adverbi	99
juovuspäissä		adverbi	99
juovuspäissään		adverbi	
juovuttaa		verbi	53*C
jupakka		substantiivi	14*A
jupik		substantiivi	5
jupikki		substantiivi	5*A
jupikkikieli		substantiivi	
jupina		substantiivi	12
jupista		verbi	66
juppi		substantiivi	5*B
juppikulttuuri		substantiivi	
juppius		substantiivi	40
juppiutua		verbi	52*F
jurakausi		substantiivi	
jurakerrostuma		substantiivi	
juridiikka		substantiivi	9*A
juridinen		adjektiivi	38
juridisesti		adverbi	99
juristeria		substantiivi	12
juristi		substantiivi	5
jurnuttaa		verbi	53*C
jurnutus		substantiivi	39
juro		adjektiivi	1
juroa		verbi	52
jurosti		adverbi	99
jurottaa		verbi	53*C
jurous		substantiivi	40
juroutua		verbi	52*F
jurppia		verbi	61*B
jurrata		verbi	73
jurri		substantiivi	5
jurrikka		substantiivi	14*A
jurtta		substantiivi	10*C
jurumi		substantiivi	6
jury		substantiivi	1
jussi		substantiivi	5
‑jussi		substantiivi	5
jussinparta		substantiivi	
jussipaita		substantiivi	
just		adverbi	99
justeerata		verbi	73
justeeraus		substantiivi	39
justeeri		substantiivi	6
justiin		adverbi	99
justiinsa		adverbi	99
jutaa		verbi	99
jute		substantiivi	100
jutella		verbi	67*C
jutku		substantiivi	1
jutskata		verbi	73
jutsku		substantiivi	1
juttelu		substantiivi	2
juttu		substantiivi	1*C
juttukaveri		substantiivi	
juttuseura		substantiivi	
juttusilla		adverbi	99
juttusille		adverbi	99
juttutuuli		substantiivi	
jutustaa		verbi	53
jutustella		verbi	67
jutustelu		substantiivi	2
jututtaa		verbi	53*C
juu		interjektio	99
juudas		substantiivi	39
juukeli		substantiivi	6
juupeli		substantiivi	6
juurakko		substantiivi	4*A
juurakkoinen		adjektiivi	38
juurakkopuhdistamo		substantiivi	
juurakkopuhdistus		substantiivi	
juurehtia		verbi	61*F
juurekas		substantiivi	41*A
juurenhaara		substantiivi	
juurenotto		substantiivi	
juures		substantiivi	39
juuresharja		substantiivi	
juureslastu		substantiivi	
juuressipsi		substantiivi	
juuresveitsi		substantiivi	
juureton		adjektiivi	34*C
juurettomuus		substantiivi	40
juureva		adjektiivi	10
juurevuus		substantiivi	40
juuri	1	substantiivi	26
juuri	2	adverbi	99
juuria		verbi	61
juuriartisokka		substantiivi	
juurieläin		substantiivi	
juuriharja		substantiivi	
juurihoitaa		verbi	
juurihoito		substantiivi	
juurihuntu		substantiivi	
juurijalkainen		adjektiivi, substantiivi	
juurikalvo		substantiivi	
juurikanava		substantiivi	
juurikarva		substantiivi	
juurikas		substantiivi	41*A
juurikassokeri		substantiivi	
juurikasvi		substantiivi	
juurikasvu		substantiivi	
juurikori		substantiivi	
juurikääpä		substantiivi	
juurilaho		substantiivi	
juurilauseke		substantiivi	
juurileipä		substantiivi	
juurimato		substantiivi	
juurimatto		substantiivi	
juurimerkki		substantiivi	
juurimukula		substantiivi	
juurimusiikki		substantiivi	
‑juurinen		adjektiivi	38
juurinystyrä		substantiivi	
juuriosa		substantiivi	
juuripaakku		substantiivi	
juuripaikka		substantiivi	
juuripermanentti		substantiivi	
juuripersilja		substantiivi	
juuripuu		substantiivi	
juuriselleri		substantiivi	
juuristo		substantiivi	2
juurisyy		substantiivi	18
juurittaa		verbi	53*C
juuritäyte		substantiivi	
juuriverso		substantiivi	
juurivesa		substantiivi	
juurrettava		substantiivi	10
juurruttaa		verbi	53*C
juurrutus		substantiivi	39
juurtaa		verbi	54*K
juurta jaksaen			99
juurta jaksain			99
juurtua		verbi	52*K
juurtumahapsi		substantiivi	
juusto		substantiivi	1
juustoaine		substantiivi	
juustofondue		substantiivi	
juustofondyy		substantiivi	
juustohöylä		substantiivi	
juustohöylämenetelmä		substantiivi	
juustohöyläperiaate		substantiivi	
juustojauhe		substantiivi	
juustokakku		substantiivi	
juustokehä		substantiivi	
juustokeitto		substantiivi	
juustokohokas		substantiivi	
juustokumina		substantiivi	12
juustokupu		substantiivi	
juustola		substantiivi	12
juustoleipä		substantiivi	
juustomaito		substantiivi	
juustomeijeri		substantiivi	
juustomestari		substantiivi	
juustomunakas		substantiivi	
juustonaksu		substantiivi	
juustonappi		substantiivi	
juustonjuoksete		substantiivi	
juustonjuoksute		substantiivi	
juustonpala		substantiivi	
juustopala		substantiivi	
juustopunkki		substantiivi	5*A
juustoraaste		substantiivi	
juustosämpylä		substantiivi	
juustotahko		substantiivi	
juustotanko		substantiivi	
juustotarjotin		substantiivi	
juustotorttu		substantiivi	
juustottua		verbi	52*C
juustouma		substantiivi	10
juustouttaa		verbi	53*C
juustoutua		verbi	52*F
juustoutuma		substantiivi	10
juustoveitsi		substantiivi	
juustoviipale		substantiivi	
juustovoileipä		substantiivi	
juutalainen		substantiivi, adjektiivi	38
juutalaiskirsikka		substantiivi	
juutalaiskortteli		substantiivi	
juutalaiskristitty		substantiivi	
juutalaislähetys		substantiivi	
juutalaissaksa		substantiivi	
juutalaissyntyinen		adjektiivi	
juutalaisuus		substantiivi	40
juutalaisvaino		substantiivi	
juutalaisvastainen		adjektiivi	
juutalaisvastaisuus		substantiivi	
juutalaisviha		substantiivi	
juutalaisväestö		substantiivi	
juutas		substantiivi	41*C
juutti	1	substantiivi	5*C
juutti	2	substantiivi	5*C
juuttikangas		substantiivi	41*G
juuttimatto		substantiivi	
juuttisäkki		substantiivi	
juuttua		verbi	52*C
jydätä		verbi	73*F
jyhkeys		substantiivi	40
jyhkeä		adjektiivi	15
jyhkeästi		adverbi	99
jykertää		verbi	54*K
jykevyys		substantiivi	40
jykevä		adjektiivi	10
jykeväleukainen		adjektiivi	
jykevästi		adverbi	99
jykevätekoinen		adjektiivi	
jylhetä		verbi	72
jylhistyä		verbi	52
jylhyys		substantiivi	40
jylhä		adjektiivi	10
jylhästi		adverbi	99
jylinä		substantiivi	12
jylistä		verbi	66
jyllätä		verbi	73
jyly		substantiivi	1
jyminä		substantiivi	12
jymistä		verbi	66
jymistää		verbi	53
jymy		substantiivi	1
jymy‑			
jymyjuttu		substantiivi	
jymymenestys		substantiivi	
jymypaukku		substantiivi	
jymyuutinen		substantiivi	
jymy-yllätys		substantiivi	
jymähdellä		verbi	67*F
jymähdys		substantiivi	39
jymähtää		verbi	53*F
jymäys		substantiivi	39
jymäytellä		verbi	67*C
jymäyttää		verbi	53*C
jynssätä		verbi	73
jynssäys		substantiivi	39
jyrinä		substantiivi	12
jyristellä		verbi	67
jyristä		verbi	66
jyristää		verbi	53
jyrisyttää		verbi	53*C
jyrkentyä		verbi	52*J
jyrkentää		verbi	54*J
jyrketä		verbi	72*A
jyrkistyä		verbi	52
jyrkistää		verbi	53
jyrkkyys		substantiivi	40
jyrkkä		adjektiivi	10*A
jyrkkäkaarteinen		adjektiivi	
jyrkkäkattoinen		adjektiivi	
jyrkkäluonteinen		adjektiivi	
jyrkkänousuinen		adjektiivi	
jyrkkäotteinen		adjektiivi	
jyrkkäpiirteinen		adjektiivi	
jyrkkärantainen		adjektiivi	
jyrkkärinteinen		adjektiivi	
jyrkkäsanainen		adjektiivi	
jyrkkäseinäinen		adjektiivi	
jyrkkäsävyinen		adjektiivi	
jyrkänne		substantiivi	48*J
jyrkänparras		substantiivi	
jyrkästi		adverbi	99
jyrrätä		verbi	73
jyrsijä		substantiivi	12
jyrsin		substantiivi	33
jyrsinkone		substantiivi	
jyrsinterä		substantiivi	
jyrsinturve		substantiivi	
jyrsintä		substantiivi	9*J
jyrsiä		verbi	61
jyry		substantiivi, adjektiivi	1
jyrytä		verbi	75
jyryyttää		verbi	53*C
jyrä		substantiivi	10
jyrähdellä		verbi	67*F
jyrähdys		substantiivi	39
jyrähtely		substantiivi	2
jyrähtää		verbi	53*F
jyrätä		verbi	73
jyräys	1	substantiivi	39
jyräys	2	substantiivi	39
jyräyttää	1	verbi	53*C
jyräyttää	2	verbi	53*C
jyske		substantiivi	48
jyskinä		substantiivi	12
jyskiä		verbi	61
jyskytellä		verbi	67*C
jyskyttää		verbi	53*C
jyskytys		substantiivi	39
jyskyä		verbi	52
jyskähtää		verbi	53*F
jyskää		verbi	78
jysähdellä		verbi	67*F
jysähdys		substantiivi	39
jysähtää		verbi	53*F
jysäri		substantiivi	6
jysäys		substantiivi	39
jysäyttää		verbi	53*C
jytinä		substantiivi	12
jytistä		verbi	66
jytistää		verbi	53
jytke		substantiivi	48
jytky		substantiivi, adjektiivi	1
jytkyttää		verbi	53*C
jytkytys		substantiivi	39
jytkähtää		verbi	53*F
jyty		substantiivi, adjektiivi	1*F
jytyyttää		verbi	53*C
jytä		substantiivi	(10)
jytäjumppa		substantiivi	
jytämusa		substantiivi	
jytämusiikki		substantiivi	
jytää		verbi	99
jyvittää		verbi	53*C
jyvitys		substantiivi	39
jyvitysarvo		substantiivi	
jyvä		substantiivi	10
jyväinen		adjektiivi	38
jyväiskudos		substantiivi	
jyväissolu		substantiivi	
jyväjemmari		substantiivi	6
jyväleipä		substantiivi	
jyväluku		substantiivi	
jyvänen		substantiivi	38
jyvässolu		substantiivi	
jyystää		verbi	53
jyystö		substantiivi	1
jäbä		substantiivi	10
jäde		substantiivi	8
jähmepiste		substantiivi	
jähmettymä		substantiivi	10
jähmettyä		verbi	52*C
jähmettää		verbi	53*C
jähmetä		verbi	72
jähmeys		substantiivi	40
jähmeä		adjektiivi	15
jähmeästi		adverbi	99
jäidenlähtö		substantiivi	
jäinen		adjektiivi	38
jäitse		adverbi	99
jäkittää		verbi	53*C
jäkki		substantiivi	5*A
jäkkärä		substantiivi	12
jäkälikkö		substantiivi	4*A
jäkälistö		substantiivi	1
jäkälä	1	substantiivi	10
jäkälä	2	substantiivi	10
jäkäläinen		adjektiivi	38
jäkäläkangas		substantiivi	41*G
jäkälämuru		substantiivi	
jäkäläpeite		substantiivi	
jäkälätauti		substantiivi	
jäkälätyyppi		substantiivi	
jäkälöityä		verbi	52*F
jäkättää		verbi	53*C
jäkätys		substantiivi	39
jäljekkäin		adverbi	99
jäljelle		adverbi	99
jäljellä		adverbi	99
jäljemmä		adverbi	99
jäljemmäksi		adverbi	99
jäljemmäs		adverbi	99
jäljempänä		adverbi	99
jäljempää		adverbi	99
jäljenne		substantiivi	48*J
jäljennys		substantiivi	39
jäljennös		substantiivi	39
jäljennöskappale		substantiivi	
jäljentyä		verbi	52*J
jäljentämö		substantiivi	2
jäljentää		verbi	54*J
jäljessä		postpositio, adverbi	99
jäljestä		postpositio, adverbi	99
jäljestäpäin		adverbi	
jäljestää		verbi	53
jäljetysten		adverbi	99
jäljetön		adjektiivi	34*C
jäljille		postpositio, adverbi	99
jäljillä		postpositio, adverbi	99
jäljiltä		postpositio, adverbi	99
jäljitellä		verbi	67*C
jäljitelmä		substantiivi	10
jäljitettävyys		substantiivi	40
jäljittelemätön		adjektiivi	34*C
jäljittely		substantiivi	2
jäljittää		verbi	53*C
jäljitys		substantiivi	39
jälkeen		postpositio, adverbi	99
jälkeenjääneisyys		substantiivi	40
jälkeenjäänyt		adjektiivi, substantiivi	47
jälkeenpäin		adverbi	
jälkeinen		adjektiivi, substantiivi	38
jälkeläinen		substantiivi	38
jälki		substantiivi	7*L
jälkiartikkeli		substantiivi	
jälkiehkäisy		substantiivi	
jälkiehkäisypilleri		substantiivi	
jälkiehkäisytabletti		substantiivi	
jälkihakkuu		substantiivi	
jälkihoito		substantiivi	
jälkihuolto		substantiivi	
jälkihuomautus		substantiivi	
jälkihypnoosi		substantiivi	
jälkihypnoottinen		adjektiivi	
jälki-ilmiö		substantiivi	
jälki-ilmoittautua		verbi	
jälki-istunta		substantiivi	
jälki-istunto		substantiivi	
jälkijakso		substantiivi	
jälkijoukko		substantiivi	
jälkijuna		substantiivi	
jälkijäristys		substantiivi	
jälkijättöinen		adjektiivi	38
jälkijättöisesti		adverbi	99
jälkijättöisyys		substantiivi	40
jälkikaiku		substantiivi	
jälkikaiunta		substantiivi	
jälkikanto		substantiivi	1*J
jälkikasvi		substantiivi	
jälkikasvu		substantiivi	
jälkikesä		substantiivi	
jälkikirjoitus		substantiivi	
jälkikoira		substantiivi	
jälkikuva		substantiivi	
jälkikypsyttää		verbi	
jälkikypsytys		substantiivi	
jälkikypsyä		verbi	
jälkikäsittelijä		substantiivi	
jälkikäsittely		substantiivi	
jälkikäteen		adverbi	99
jälkikäteinen		adjektiivi	
jälkikäteis‑			
jälkikäynti		substantiivi	
jälkilaskelma		substantiivi	
jälkilasku		substantiivi	
jälkilause		substantiivi	
jälkiliite		substantiivi	
jälkilypsy		substantiivi	
jälkilämpö		substantiivi	
jälkilöyly		substantiivi	
jälkimaailma		substantiivi	
jälkimaine		substantiivi	
jälkimaininki		substantiivi	
jälkimaku		substantiivi	
jälkimarkkinakelpoinen		adjektiivi	
jälkimarkkinat		substantiivi	
jälkimarkkinointi		substantiivi	
jälkimehu		substantiivi	
jälkimmäinen		adjektiivi	38
jälkinäytös		substantiivi	
jälkiosa		substantiivi	
jälkipainos		substantiivi	
jälkipanttaus		substantiivi	
jälkipeli		substantiivi	
jälkiperintä		substantiivi	
jälkipisto		substantiivi	
jälkipoltin		substantiivi	
jälkipoltto		substantiivi	
jälkipolvi		substantiivi	
jälkipuhe		substantiivi	
jälkipuinti		substantiivi	
jälkipuoli		substantiivi	
jälkipuolisko		substantiivi	
jälkipyykki		substantiivi	5*A
jälkipää		substantiivi	
jälkiruoka		substantiivi	
jälkiruokakastike		substantiivi	
jälkiruokakulho		substantiivi	
jälkiruokalautanen		substantiivi	
jälkiruokalusikka		substantiivi	
jälkiruokamalja		substantiivi	
jälkiruokaviini		substantiivi	5
jälkisammutus		substantiivi	
jälkisato		substantiivi	
jälkiselostus		substantiivi	
jälkiselvittely		substantiivi	
jälkiseuraus		substantiivi	
jälkisuggestio		substantiivi	
jälkisupistus		substantiivi	
jälkisäteily		substantiivi	
jälkisäädös		substantiivi	
jälkitarkastus		substantiivi	
jälkitauti		substantiivi	
jälkiteollinen		adjektiivi	
jälkitila		substantiivi	
jälkituleentua		verbi	
jälkiuuni		substantiivi	
jälkiuunileipä		substantiivi	
jälkivaatimus		substantiivi	
jälkivaatimuslähetys		substantiivi	
jälkivaikutelma		substantiivi	
jälkivaikutus		substantiivi	
jälkivarmistus		substantiivi	
jälkiveloitus		substantiivi	
jälkivero		substantiivi	
jälkiverotus		substantiivi	
jälkiviisas		adjektiivi, substantiivi	
jälkiviisastelu		substantiivi	
jälkiviisaus		substantiivi	
jälkivuoto		substantiivi	
jälkiäänittää		verbi	
jälkiäänitys		substantiivi	
jälkkäri		substantiivi	6
jälleen		adverbi	99
jälleenhankinta-arvo		substantiivi	
jälleenkäsittely		substantiivi	
jälleenkäyttö		substantiivi	
jälleenmyyjä		substantiivi	
jälleenmyynti		substantiivi	
jälleenmyyntiarvo		substantiivi	
jälleenmyyntihinta		substantiivi	
jälleennäkeminen		substantiivi	38
jälleenrakennus		substantiivi	
jälleenrakentaminen		substantiivi	
jälleensyntyminen		substantiivi	38
jälleenvakuuttaa		verbi	
jälleenvakuutus		substantiivi	
jälleenviejä		substantiivi	
jälleenvienti		substantiivi	
jälsi		substantiivi	28*I
jälsikerros		substantiivi	
jälsisolukko		substantiivi	
jämeryys		substantiivi	40
jämerä		adjektiivi	10
jämerästi		adverbi	99
jämpti		adjektiivi	5
jämptisti		adverbi	99
jämtti		adjektiivi	5
jämttisti		adverbi	99
jämä		substantiivi	10
jämähtää		verbi	53*F
jämäkkyys		substantiivi	40
jämäkkä		adjektiivi	14*A
jämäkästi		adverbi	99
jämäköityä		verbi	52*F
jäniksenjälki		substantiivi	
jäniksenkäpälä		substantiivi	
jäniksenliha		substantiivi	
jäniksenpoika		substantiivi	
jäniksenpoikanen		substantiivi	
jänis		substantiivi	39
jäniseläin		substantiivi	
jänisemo		substantiivi	
jänishousu		substantiivi	1
jänisjahti		substantiivi	5*F
jäniskoira		substantiivi	
jäniskäännös		substantiivi	
jänismetsä		substantiivi	
jänispaisti		substantiivi	
jänisrutto		substantiivi	
jänisräikkä		substantiivi	
jänistää		verbi	53
jänkä		substantiivi	10*G
jänkäsirriäinen		substantiivi	38
jänne		substantiivi	48*J
jännebetoni		substantiivi	
jänneheijaste		substantiivi	
jännerefleksi		substantiivi	
jännerepeämä		substantiivi	
jännesaha		substantiivi	
jännetulehdus		substantiivi	
jännetupentulehdus		substantiivi	
jännetuppi		substantiivi	
jännetuppitulehdus		substantiivi	
jänneväli		substantiivi	
jännite		substantiivi	48*C
jännite-ero		substantiivi	
jännitehäviö		substantiivi	
jännitemittari		substantiivi	
jännitepiikki		substantiivi	
jännitteensäädin		substantiivi	
jännitteetön		adjektiivi	34*C
jännitteinen		adjektiivi	38
jännitteisyys		substantiivi	40
jännittyneisyys		substantiivi	40
jännittynyt		adjektiivi	47
jännittyä		verbi	52*C
jännittäjä		substantiivi	10
jännittäjätyyppi		substantiivi	
jännittävyys		substantiivi	40
jännittävä		adjektiivi	10
jännittävästi		adverbi	99
jännittää		verbi	53*C
jännitys		substantiivi	39
jännitys‑			
jännityselokuva		substantiivi	
jännitysfilmi		substantiivi	
jännityskertomus		substantiivi	
jännityskirja		substantiivi	
jännitysmomentti		substantiivi	
jännitysniska		substantiivi	
jännitysnäytelmä		substantiivi	
jännityspäänsärky		substantiivi	
jännitysromaani		substantiivi	
jännityssarja		substantiivi	
jännitystila		substantiivi	
jännä		adjektiivi	10
jännäri		substantiivi	6
jännästi		adverbi	99
jännätä		verbi	73
jänskä		adjektiivi	10
jänskästi		adverbi	99
jänteikäs		adjektiivi	41*A
jänteinen		adjektiivi	38
jänteisyys		substantiivi	40
jäntere		substantiivi	48
jäntevyys		substantiivi	40
jäntevä		adjektiivi	10
jäntevästi		adverbi	99
jäntevöidä		verbi	62
jäntevöittää		verbi	53*C
jäntevöityä		verbi	52*F
jänteys		substantiivi	40
jäntterä		adjektiivi	10
jänö		substantiivi	1
jänöjussi		substantiivi	
jänönen		substantiivi	38
jänöpupu		substantiivi	
jäpikkä		substantiivi	14*A
jäpittää		verbi	53*C
järeys		substantiivi	40
järeytyä		verbi	52*F
järeä		adjektiivi	15
järeästi		adverbi	99
järin		adverbi	99
järinä		substantiivi	12
järistys		substantiivi	39
järistä		verbi	66
järisyttää		verbi	53*C
järjellinen		adjektiivi	38
järjellisesti		adverbi	99
järjellisyys		substantiivi	40
järjenjuoksu		substantiivi	
järjenlahja		substantiivi	
järjenmukainen		adjektiivi	
järjenvastainen		adjektiivi	
järjesteillä		adverbi	99
järjestellä		verbi	67
järjestelmä		substantiivi	10
järjestelmäkamera		substantiivi	
järjestelmällinen		adjektiivi	38
järjestelmällisesti		adverbi	99
järjestelmällistää		verbi	53
järjestelmällisyys		substantiivi	40
järjestelmälotto		substantiivi	
järjestelmärivi		substantiivi	
järjestelmäveikkaus		substantiivi	
järjestely		substantiivi	2
järjestelyjuna		substantiivi	
järjestelykoneisto		substantiivi	
järjestelykyky		substantiivi	
järjestelykykyinen		adjektiivi	
järjestelyorganisaatio		substantiivi	
järjestelytaito		substantiivi	
järjestyksenpito		substantiivi	
järjestyksenvalvoja		substantiivi	
järjestymätön		adjektiivi	34*C
järjestys		substantiivi	39
järjestysasia		substantiivi	
järjestyshäiriö		substantiivi	
järjestysluku		substantiivi	
järjestyslukusana		substantiivi	
järjestysmies		substantiivi	
järjestysnumero		substantiivi	
järjestyspartio		substantiivi	
järjestyspoliisi		substantiivi	
järjestysrikkomus		substantiivi	
järjestyssääntö		substantiivi	
järjestysvalta		substantiivi	
järjestyä		verbi	52
järjestäjä		substantiivi	10
järjestäytymiskokous		substantiivi	
järjestäytymispakko		substantiivi	
järjestäytymisvapaus		substantiivi	
järjestäytyä		verbi	52*F
järjestää		verbi	53
järjestään		adverbi	99
järjestö		substantiivi	2
järjestödemokratia		substantiivi	
järjestöelämä		substantiivi	
järjestöhöylä		substantiivi	
järjestöihminen		substantiivi	
järjestöjyrä		substantiivi	
järjestölakko		substantiivi	
järjestölehti		substantiivi	
järjestöllinen		adjektiivi	38
järjestösihteeri		substantiivi	
järjestötoiminta		substantiivi	
järjestövalmius		substantiivi	
järjettömyys		substantiivi	40
järjettömästi		adverbi	99
järjetön		adjektiivi, substantiivi	34*C
järjissään		adverbi	99
järkeenkäypä		adjektiivi	
järkeenkäyvä		adjektiivi	
järkeillä		verbi	67
järkeily		substantiivi	2
järkeisoppi		substantiivi	
järkeistyä		verbi	52
järkeistää		verbi	53
järkevyys		substantiivi	40
järkevä		adjektiivi	10
järkevästi		adverbi	99
järkevöittää		verbi	53*C
järkevöityä		verbi	52*F
järki		substantiivi	7*L
järkiavioliitto		substantiivi	
järki-ihminen		substantiivi	
järkiinnyttää		verbi	53*C
järkiintyä		verbi	52*J
järkikulta		substantiivi	
järkimies		substantiivi	
‑järkinen		adjektiivi, substantiivi	38
järkiperuste		substantiivi	
järkiperäinen		adjektiivi	
järkiperäisesti		adverbi	99
järkiperäistyä		verbi	52
järkiperäistää		verbi	53
järkiperäisyys		substantiivi	
järkipuhe		substantiivi	
järkisyy		substantiivi	
järkiään		adverbi	99
järkky		adjektiivi	1*A
järkkymättömyys		substantiivi	40
järkkymättömästi		adverbi	99
järkkymätön		adjektiivi	34*C
järkkyä		verbi	52*A
järkyttyä		verbi	52*C
järkyttävyys		substantiivi	40
järkyttävä		adjektiivi	10
järkyttävästi		adverbi	99
järkyttää		verbi	53*C
järkytys		substantiivi	39
järkähtämättömyys		substantiivi	40
järkähtämättömästi		adverbi	99
järkähtämätön		adjektiivi	34*C
järkähtää		verbi	53*F
järkäle		substantiivi	48
järkätä		verbi	73*A
järripeippo		substantiivi	
järsiä		verbi	61
järvenjää		substantiivi	
järvenlasku		substantiivi	
järvenpinta		substantiivi	
järvenpohja		substantiivi	
järvenranta		substantiivi	
järvenselkä		substantiivi	
järvi		substantiivi	7
järviallas		substantiivi	
järvialue		substantiivi	
järvihölkkä		substantiivi	
järvikaisla		substantiivi	
järvikala		substantiivi	
järvikalastus		substantiivi	
järvikorte		substantiivi	
järviliikenne		substantiivi	
järvilohi		substantiivi	
järvimaisema		substantiivi	
järvimalmi		substantiivi	
järvimatkailu		substantiivi	
‑järvinen		adjektiivi	38
järvireitti		substantiivi	
järvirikas		adjektiivi	
järviruoko		substantiivi	
järviseutu		substantiivi	
järvisieni		substantiivi	
järvisiika		substantiivi	
järvisimpukka		substantiivi	
järvisyyhy		substantiivi	
järvisätkin		substantiivi	
järvitaimen		substantiivi	
järvivene		substantiivi	
järvivesi		substantiivi	
järähdellä		verbi	67*F
järähtely		substantiivi	2
järähtää		verbi	53*F
järäyttää		verbi	53*C
jäsen		substantiivi	32
jäsenalennus		substantiivi	
jäsenetu		substantiivi	
jäsenhankinta		substantiivi	
jäsenhinta		substantiivi	
‑jäseninen		adjektiivi	38
jäsenistö		substantiivi	1
jäsenjärjestö		substantiivi	
jäsenkirja		substantiivi	
jäsenkorjaaja		substantiivi	
jäsenkorjaus		substantiivi	
jäsenkortti		substantiivi	
jäsenkunta		substantiivi	
jäsenlehti		substantiivi	
jäsenluettelo		substantiivi	
jäsenmaa		substantiivi	
jäsenmaksu		substantiivi	
jäsenmerkki		substantiivi	
jäsenmäärä		substantiivi	
jäsennellä		verbi	67*J
jäsennys		substantiivi	39
jäsenpalvelu		substantiivi	
jäsenrekisteri		substantiivi	
jäsenruoho		substantiivi	
jäsenseura		substantiivi	
jäsentarjous		substantiivi	
jäsentely		substantiivi	2
jäsentenvälinen		adjektiivi	
jäsentyä		verbi	52*J
jäsentää		verbi	54*J
jäsenvaltio		substantiivi	
jäsenyhdistys		substantiivi	
jäsenyys		substantiivi	40
jäsenäänestys		substantiivi	
jässikkä		substantiivi	14*A
jästipää		substantiivi	
jäte		substantiivi	48*C
jäteaine		substantiivi	
jäteasema		substantiivi	
jäteastia		substantiivi	
jäteauto		substantiivi	
jätehuolto		substantiivi	
jätehuoltorikkomus		substantiivi	
jätehuoltorikos		substantiivi	
jätekatos		substantiivi	
jätekuilu		substantiivi	
jätekuormitus		substantiivi	
jätelaitos		substantiivi	
jätelasi		substantiivi	
jätelauta		substantiivi	
jätelipeä		substantiivi	
jäteliuos		substantiivi	
jätelämpö		substantiivi	
jätemaksu		substantiivi	
jätemylly		substantiivi	
jätemäki		substantiivi	
jätepaperi		substantiivi	
jätepuristin		substantiivi	
jätepussi		substantiivi	
jätepuu		substantiivi	
jätesanko		substantiivi	
